chart_id,link,title,safe title,javascript file,data files,question_id,question,golden_answer,enabled
1,https://observablehq.com/d/641fe2058221d34b,IA commentary July 2023,ia_commentary_july_2023,ia_commentary_july_2023.js,files/69f09c9bfc20a238296ee6ef0c63eb805d711b43d7e39c930cba7712d6dadab00088f4178a4b58110e45cd876be74a3ce0fa8951ba80091299ae346407274c29.csv,1,What percentage of applicants received a decision in under 6 months?,59%,1
1,https://observablehq.com/d/641fe2058221d34b,IA commentary July 2023,ia_commentary_july_2023,ia_commentary_july_2023.js,files/69f09c9bfc20a238296ee6ef0c63eb805d711b43d7e39c930cba7712d6dadab00088f4178a4b58110e45cd876be74a3ce0fa8951ba80091299ae346407274c29.csv,2,Which has a higher share: 1–1.5 years or 1.5–2 years?,1–1.5 years,1
2,https://observablehq.com/d/f792e00c5ceb4b87,"Percent of D.C. Workers Who Are Immigrants, by Occupation",percent_of_dc_workers_who_are_immigrants_by_occupation,percent_of_dc_workers_who_are_immigrants_by_occupation.js,files/899584d54db2b20a3c2bbae35b5a9636cb3303fb65fef5daa2a9ee27c361ae00397d8206a8c9beae7926ac5ad7d8f072ed12e2b53bdddd331fa13c502b0969f3.csv,3,Do low-wage jobs tend to have higher immigrant percentages than high-wage jobs?,"yes. with total of 801%, 137% more than high-wage jobs",1
2,https://observablehq.com/d/f792e00c5ceb4b87,"Percent of D.C. Workers Who Are Immigrants, by Occupation",percent_of_dc_workers_who_are_immigrants_by_occupation,percent_of_dc_workers_who_are_immigrants_by_occupation.js,files/899584d54db2b20a3c2bbae35b5a9636cb3303fb65fef5daa2a9ee27c361ae00397d8206a8c9beae7926ac5ad7d8f072ed12e2b53bdddd331fa13c502b0969f3.csv,4,Which occupation has an unexpectedly high immigrant percentage compared to its wage category?,"carpenters, with middle wage category.",1
3,https://observablehq.com/d/1b9b8c753e96b9fc,How Many Members of the US Military Have Died in Each War?,how_many_members_of_the_us_military_have_died_in_each_war,how_many_members_of_the_us_military_have_died_in_each_war.js,files/94917c9c4468ce04221c11c44871a8af76add0d9250ca3fead3a37a738a077c85429ac3cf7ea3cb63feef81d6151addac659314f6efbb3f211566b9dbd93dbe9.csv,5,How many deaths occurred in the World War II?,"405,399",1
3,https://observablehq.com/d/1b9b8c753e96b9fc,How Many Members of the US Military Have Died in Each War?,how_many_members_of_the_us_military_have_died_in_each_war,how_many_members_of_the_us_military_have_died_in_each_war.js,files/94917c9c4468ce04221c11c44871a8af76add0d9250ca3fead3a37a738a077c85429ac3cf7ea3cb63feef81d6151addac659314f6efbb3f211566b9dbd93dbe9.csv,6,Which war had more deaths: Korean War or Vietnam War?,Vietnam War,1
3,https://observablehq.com/d/1b9b8c753e96b9fc,How Many Members of the US Military Have Died in Each War?,how_many_members_of_the_us_military_have_died_in_each_war,how_many_members_of_the_us_military_have_died_in_each_war.js,files/94917c9c4468ce04221c11c44871a8af76add0d9250ca3fead3a37a738a077c85429ac3cf7ea3cb63feef81d6151addac659314f6efbb3f211566b9dbd93dbe9.csv,7,How has the number of deaths changed from early wars to modern wars?,decreasing,1
4,https://observablehq.com/@fyp4/malaysia-total-trade-with-world,Malaysia Total Trade with World,malaysia_total_trade_with_world,malaysia_total_trade_with_world.js,files/0feeeace7bd35a9bfff9ec703c398a6dbd4889e0dd92e677ac33457e1e669158cff61dd3b8cd40bcb1a42095497380708e68f3f5e9cb88fa58b5d8b6ef781a17.csv,8,What is Malaysia’s total trade (% of GDP) in 1990?,133.30%,1
4,https://observablehq.com/@fyp4/malaysia-total-trade-with-world,Malaysia Total Trade with World,malaysia_total_trade_with_world,malaysia_total_trade_with_world.js,files/0feeeace7bd35a9bfff9ec703c398a6dbd4889e0dd92e677ac33457e1e669158cff61dd3b8cd40bcb1a42095497380708e68f3f5e9cb88fa58b5d8b6ef781a17.csv,9,Was trade higher in 2000 or 2010?,higher in 2000,1
5,https://observablehq.com/d/4c1fb232cc0eea23,Traffic-citations,traffic_citations,traffic_citations.js,files/1d58678cdf1d2e9ebec37ee121a7a31f873d96d21ba81108b037f86c2bf84975b9f4c704e440d4cd3d01b70c5c0e28c6613348150b6fd5e740f69d6ee7b98ccf.csv,10,How does the percentage of speeding citations change over time in Q2?,the percentage is below average during 2004 until 2007 period. but overall it maintain above average and the highest speeding was in 2009,1
5,https://observablehq.com/d/4c1fb232cc0eea23,Traffic-citations,traffic_citations,traffic_citations.js,files/1d58678cdf1d2e9ebec37ee121a7a31f873d96d21ba81108b037f86c2bf84975b9f4c704e440d4cd3d01b70c5c0e28c6613348150b6fd5e740f69d6ee7b98ccf.csv,11,Which year in Q1 shows an unusually low number of total citations?,2014,1
6,https://observablehq.com/d/6c81fc440235fdb4,Dublin Stats,dublin_stats,dublin_stats.js,files/c17853a64279c6ad17bf1979e9f856cae7e2b05be2954859372bf041684ed65803d67c181c68e25a6ce6585d6a53c910689a427f0c6a0dc862dc62b4d2a6d2e7.csv,12,What was the number of transfers out for Austria in 2017?,3738,1
6,https://observablehq.com/d/6c81fc440235fdb4,Dublin Stats,dublin_stats,dublin_stats.js,files/c17853a64279c6ad17bf1979e9f856cae7e2b05be2954859372bf041684ed65803d67c181c68e25a6ce6585d6a53c910689a427f0c6a0dc862dc62b4d2a6d2e7.csv,13,How did Switzerland’s requests out change from 2012 to 2016?,"it decreased in 2013, then increasing in 2014 to 2015, but then it decreased again in 2016",1
6,https://observablehq.com/d/6c81fc440235fdb4,Dublin Stats,dublin_stats,dublin_stats.js,files/c17853a64279c6ad17bf1979e9f856cae7e2b05be2954859372bf041684ed65803d67c181c68e25a6ce6585d6a53c910689a427f0c6a0dc862dc62b4d2a6d2e7.csv,14,Is there a year where Switzerland’s transfers in suddenly increased significantly?,"yes. it is in 2018, with the number of 1292",1
7,https://observablehq.com/d/1a6221c15c98cf2c,International Merchandise Trade Malaysia and ASEAN,international_merchandise_trade_malaysia_and_asean,international_merchandise_trade_malaysia_and_asean.js,files/fc5a32c324e1f14e69876f73c6c4c468a2649fef8437d1542170707fd0e07a0eaf27b7a75f69df003d78e39c8b12a2e61e0d051d1830996a5b0a15d638c904b7.csv,15,What is the total trade value (RM) between Malaysia and Indonesia?,"122,876,873",1
7,https://observablehq.com/d/1a6221c15c98cf2c,International Merchandise Trade Malaysia and ASEAN,international_merchandise_trade_malaysia_and_asean,international_merchandise_trade_malaysia_and_asean.js,files/fc5a32c324e1f14e69876f73c6c4c468a2649fef8437d1542170707fd0e07a0eaf27b7a75f69df003d78e39c8b12a2e61e0d051d1830996a5b0a15d638c904b7.csv,16,Which country has higher trade value with Malaysia: Vietnam or Cambodia?,Vietnam,1
8,https://observablehq.com/d/d8d343511c03acf7,Percent Change in Past Month Alcohol Use between 2011 and 2016 by State,percent_change_in_past_month_alcohol_use_between_2011_and_2016_by_state,percent_change_in_past_month_alcohol_use_between_2011_and_2016_by_state.js,files/ad86488943869abc7d203c9e5e0347e9abe21fc31451d7168eeaa3de58411df9f69228f7bfc7331ff5b383bd175b52a872e1df0891b404793f3ec25b53edf20e.csv,17,How does the pattern of percent change differ between inland states and coastal states?,coastal mean is lower than the inland mean,1
8,https://observablehq.com/d/d8d343511c03acf7,Percent Change in Past Month Alcohol Use between 2011 and 2016 by State,percent_change_in_past_month_alcohol_use_between_2011_and_2016_by_state,percent_change_in_past_month_alcohol_use_between_2011_and_2016_by_state.js,files/ad86488943869abc7d203c9e5e0347e9abe21fc31451d7168eeaa3de58411df9f69228f7bfc7331ff5b383bd175b52a872e1df0891b404793f3ec25b53edf20e.csv,18,Which state appears to be the strongest positive outlier on the map?,"Utah, with 17.50%",1
9,https://observablehq.com/d/ad06c98b232deab5,Geography of Educational Attainment in California,geography_of_educational_attainment_in_california,geography_of_educational_attainment_in_california.js,files/762b06bdc00b4c99e2ecf1319e658c9f778a28bb99802c0cf96a34e471d717a87ee3a262cec3444a948d239e15cbda271d7870952793714b22b98c58f7102e47.csv,19,Which county has a higher percentage of bachelor’s degrees: San Francisco or San Diego (All adults)?,San Francisco,1
