﻿link,id,question,enabled
https://afiqket.github.io/capstone-charts/?chart=ia_commentary_july_2023,1,What percentage of applicants received a decision in under 6 months? ,0
https://afiqket.github.io/capstone-charts/?chart=ia_commentary_july_2023,2,Which has a higher share: 1–1.5 years or 1.5–2 years?,0
https://afiqket.github.io/capstone-charts/?chart=percent_of_dc_workers_who_are_immigrants_by_occupation,3,Do low-wage jobs tend to have higher immigrant percentages than high-wage jobs?,0
https://afiqket.github.io/capstone-charts/?chart=percent_of_dc_workers_who_are_immigrants_by_occupation,4,Which occupation has an unexpectedly high immigrant percentage compared to its wage category?,0
https://afiqket.github.io/capstone-charts/?chart=how_many_members_of_the_us_military_have_died_in_each_war,5,How many deaths occurred in the World War II?,0
https://afiqket.github.io/capstone-charts/?chart=how_many_members_of_the_us_military_have_died_in_each_war,6,Which war had more deaths: Korean War or Vietnam War?,0
https://afiqket.github.io/capstone-charts/?chart=how_many_members_of_the_us_military_have_died_in_each_war,7,How has the number of deaths changed from early wars to modern wars?,0
https://afiqket.github.io/capstone-charts/?chart=malaysia_total_trade_with_world,8,What is Malaysia’s total trade (% of GDP) in 1990?,0
https://afiqket.github.io/capstone-charts/?chart=malaysia_total_trade_with_world,9,Was trade higher in 2000 or 2010?,0
https://afiqket.github.io/capstone-charts/?chart=traffic_citations,10,How does the percentage of speeding citations change over time in Q2?,0
https://afiqket.github.io/capstone-charts/?chart=traffic_citations,11,Which year in Q1 shows an unusually low number of total citations?,0
https://afiqket.github.io/capstone-charts/?chart=dublin_stats,12,What was the number of transfers out for Austria in 2017?,0
https://afiqket.github.io/capstone-charts/?chart=dublin_stats,13,How did Switzerland’s requests out change from 2012 to 2016?,0
https://afiqket.github.io/capstone-charts/?chart=dublin_stats,14,Is there a year where Switzerland’s transfers in suddenly increased significantly?,0
https://afiqket.github.io/capstone-charts/?chart=international_merchandise_trade_malaysia_and_asean,15,What is the total trade value (RM) between Malaysia and Indonesia?,0
https://afiqket.github.io/capstone-charts/?chart=international_merchandise_trade_malaysia_and_asean,16,Which country has higher trade value with Malaysia: Vietnam or Cambodia?,0
https://afiqket.github.io/capstone-charts/?chart=geography_of_educational_attainment_in_california,17,How does the pattern of percent change differ between inland states and coastal states?,0
https://afiqket.github.io/capstone-charts/?chart=geography_of_educational_attainment_in_california,18,Which state appears to be the strongest positive outlier on the map?,0
https://afiqket.github.io/capstone-charts/?chart=geography_of_educational_attainment_in_california,19,Which county has a higher percentage of bachelor’s degrees: San Francisco or San Diego (All adults)?,0
https://afiqket.github.io/capstone-charts/?chart=geography_of_educational_attainment_in_california,20,Which county has an unusually high percentage compared to others?,0
https://afiqket.github.io/capstone-charts/?chart=finland_tech_job_market_top_skill_demand_tracker_2024_2026,21,How many Mid-level jobs require Power BI?,0
https://afiqket.github.io/capstone-charts/?chart=finland_tech_job_market_top_skill_demand_tracker_2024_2027,22,Is Senior Tableau demand higher than Senior Power BI demand?,0
https://afiqket.github.io/capstone-charts/?chart=finland_tech_job_market_top_skill_demand_tracker_2024_2028,23,Which seniority level contributes the largest total demand across all skills?,0
https://afiqket.github.io/capstone-charts/?chart=finland_tech_job_market_top_skill_demand_tracker_2024_2029,24,How can I retrieve the exact distinct job count for Mid-level Azure positions?,0
https://afiqket.github.io/capstone-charts/?chart=finland_tech_job_market_top_skill_demand_tracker_2024_2030,25,"If I click or hover on the Junior Tableau segment, what data becomes visible?",0
https://afiqket.github.io/capstone-charts/?chart=ai_adoption_and_digital_skillsevidence_of_a_potential_mismatch_in_2021_2025,26,What is the AI adoption percentage for Spain?,0
https://afiqket.github.io/capstone-charts/?chart=ai_adoption_and_digital_skillsevidence_of_a_potential_mismatch_in_2021_2026,27,"Between Netherlands and Finland, which country has a higher digital skills percentage?",0
https://afiqket.github.io/capstone-charts/?chart=ai_adoption_and_digital_skillsevidence_of_a_potential_mismatch_in_2021_2027,28,Which countries appear to have strong digital skills but lower AI adoption?,0
https://afiqket.github.io/capstone-charts/?chart=ai_adoption_and_digital_skillsevidence_of_a_potential_mismatch_in_2021_2028,29,How can I get the digital skills trend of a specific country from 2021 to 2025?,0
https://afiqket.github.io/capstone-charts/?chart=ai_adoption_and_digital_skillsevidence_of_a_potential_mismatch_in_2021_2029,30,What happens if I click “Digital Skills Trend by Population”?,0
https://afiqket.github.io/capstone-charts/?chart=uber_usage_trends_in_pakistan_bookings_and_revenue_20242025,31,What is the total booking value for Mini in May 2024?,0
https://afiqket.github.io/capstone-charts/?chart=uber_usage_trends_in_pakistan_bookings_and_revenue_20242026,32,"In June 2024, which vehicle type has higher total bookings, Mini or Premium?",0
https://afiqket.github.io/capstone-charts/?chart=uber_usage_trends_in_pakistan_bookings_and_revenue_20242027,33,How does the Premium revenue trend change over time?,0
https://afiqket.github.io/capstone-charts/?chart=uber_usage_trends_in_pakistan_bookings_and_revenue_20242028,34,How can I find the exact revenue value for Mini in July 2025?,0
https://afiqket.github.io/capstone-charts/?chart=uber_usage_trends_in_pakistan_bookings_and_revenue_20242029,35,What information is displayed when I hover over a point in the Premium revenue chart?,0
https://afiqket.github.io/capstone-charts/?chart=historical_price_of_computer_memory_and_storage,36,What was the approximate price per byte of Disk in 1980?,0
https://afiqket.github.io/capstone-charts/?chart=historical_price_of_computer_memory_and_storage,37,"In 2005, which was cheaper: Memory or Disk?",0
https://afiqket.github.io/capstone-charts/?chart=historical_price_of_computer_memory_and_storage,38,What overall trend can be observed in the prices of computer memory and storage from 1957 to 2020?,0
https://afiqket.github.io/capstone-charts/?chart=historical_price_of_computer_memory_and_storage,39,How can I get the exact price data of Memory in 2010 from this chart?,0
https://afiqket.github.io/capstone-charts/?chart=historical_price_of_computer_memory_and_storage,40,"If I click on the Bar button at the top, how will the chart change?",0
https://afiqket.github.io/capstone-charts/?chart=mobile_money_accounts,41,What was the number of active mobile money accounts in Sub-Saharan Africa in 2024?,0
https://afiqket.github.io/capstone-charts/?chart=mobile_money_accounts,42,Which region had more active mobile money accounts in 2022: East Asia and Pacific or South Asia?,0
https://afiqket.github.io/capstone-charts/?chart=mobile_money_accounts,43,What overall trend can be observed in active mobile money accounts from 2010 to 2024?,0
https://afiqket.github.io/capstone-charts/?chart=mobile_money_accounts,44,How can I find the exact value of active mobile money accounts for Sub-Saharan Africa in 2024 from this chart?,0
https://afiqket.github.io/capstone-charts/?chart=mobile_money_accounts,45,What happens if I click or drag the timeline slider at the bottom of the chart?,0
https://afiqket.github.io/capstone-charts/?chart=internet,46,What percentage of people in Australia own a mobile phone?,0
https://afiqket.github.io/capstone-charts/?chart=internet,47,How can I get the data of Mexico’s mobile phone ownership from this map?,0
https://afiqket.github.io/capstone-charts/?chart=internet,48,What happens if I hover over a country with a darker blue color?,0
https://afiqket.github.io/capstone-charts/?chart=medicine,49,Which region generally shows higher values: North America or Southeast Asia?,0
https://afiqket.github.io/capstone-charts/?chart=medicine,50,How can I get the exact data value for Canada from this chart?,0
https://afiqket.github.io/capstone-charts/?chart=medicine,51,What happens if I hover over Canada on the map?,0
https://afiqket.github.io/capstone-charts/?chart=ucr_violent_crime,52,Around which year did Harris County reach its highest reported violent crime count?,0
https://afiqket.github.io/capstone-charts/?chart=ucr_violent_crime,53,How can I find the reported violent crime count for each sheriff department in 2008?,0
https://afiqket.github.io/capstone-charts/?chart=ucr_violent_crime,54,What happens if I change the Sheriff department filter from “All” to “Harris County”?,0
https://afiqket.github.io/capstone-charts/?chart=stroke_statistics_leading_cause_of_death,55,What is the rank of cerebrovascular diseases in the chart of UK on 2018?,0
https://afiqket.github.io/capstone-charts/?chart=stroke_statistics_leading_cause_of_death,56,How can I get the rank and death count of influenza and pneumonia for Scotland?,0
https://afiqket.github.io/capstone-charts/?chart=stroke_statistics_leading_cause_of_death,57,What happen if I click the left or right arrow button in the charts?,0
https://afiqket.github.io/capstone-charts/?chart=landline_internet_subscription,58,"Based on the color intensity, which countries appear to have the highest landline Internet subscriptions in 1998?",0
https://afiqket.github.io/capstone-charts/?chart=landline_internet_subscription,59,How can I compare the data for multiple countries using this chart?,0
https://afiqket.github.io/capstone-charts/?chart=landline_internet_subscription,60,What happens if I drag the year slider from 1998 to 2025?,0
https://afiqket.github.io/capstone-charts/?chart=4g_network,61,What overall trend can be observed in 4G mobile network coverage across the selected countries over time?,0
https://afiqket.github.io/capstone-charts/?chart=4g_network,62,How can I get the exact data value of 4G coverage for a specific country and year?,0
https://afiqket.github.io/capstone-charts/?chart=4g_network,63,What happen if I click the play button at the year slide of the chart?,0
https://afiqket.github.io/capstone-charts/?chart=who_owns_a_phone,64,What was the percentage of people covered by a 4G mobile network in Malaysia in 2023?,0
https://afiqket.github.io/capstone-charts/?chart=who_owns_a_phone,65,How can I get the exact 4G mobile network coverage percentage for Thailand in 2018 from this chart?,0
https://afiqket.github.io/capstone-charts/?chart=who_owns_a_phone,66,What information could I get if I hover over to Russia in map chart?,0
https://afiqket.github.io/capstone-charts/?chart=death_rate,67,Compare the death rate of Ethiopia and Afghanistan. Which one is higher?,0
https://afiqket.github.io/capstone-charts/?chart=death_rate,68,How can I get the data of Ukraine with the highest death rate in year 2000?,0
https://afiqket.github.io/capstone-charts/?chart=death_rate,69,What happen if I drag the slider function at the bottom of the chart?,0
